subj,sesh,block,trial,cond,cue,r1,r2,choice,reward
1,1,1,1,2,1,0,1,2,1
1,1,1,2,2,2,1,0,2,0
1,1,1,3,2,1,0,1,2,1
1,1,1,4,2,2,1,0,1,1
1,1,1,5,2,2,1,0,2,0
1,1,1,6,2,2,1,0,1,1
1,1,1,7,2,1,0,1,1,0
1,1,1,8,2,1,0,1,2,1
1,1,1,9,2,2,1,0,1,1
1,1,1,10,2,2,1,0,1,1
1,1,1,11,2,1,0,1,2,1
1,1,1,12,2,2,1,0,1,1
1,1,1,13,2,1,0,1,2,1
1,1,1,14,2,1,0,1,2,1
1,1,1,15,2,2,1,0,1,1
1,1,1,16,2,2,1,0,1,1
1,1,1,17,2,2,1,0,1,1
1,1,1,18,2,2,1,0,1,1
1,1,1,19,2,2,1,0,1,1
1,1,1,20,2,2,1,0,1,1
1,1,1,21,2,1,0,1,2,1
1,1,1,22,2,2,1,0,1,1
1,1,1,23,2,1,0,1,2,1
1,1,1,24,2,2,1,0,1,1
1,1,1,25,2,2,1,0,1,1
1,1,1,26,2,2,1,0,2,0
1,1,1,27,2,2,1,0,1,1
1,1,1,28,2,1,0,1,2,1
1,1,1,29,2,2,1,0,1,1
1,1,1,30,2,1,0,1,2,1
1,1,1,31,2,2,1,0,1,1
1,1,1,32,2,2,1,0,1,1
1,1,1,33,2,1,0,1,1,0
1,1,1,34,2,1,0,1,2,1
1,1,1,35,2,1,0,1,2,1
1,1,1,36,2,2,1,0,1,1
1,1,1,37,2,2,1,0,2,0
1,1,1,38,2,1,0,1,1,0
1,1,1,39,2,2,1,0,2,0
1,1,1,40,2,2,1,0,1,1
1,1,1,41,2,1,0,1,2,1
1,1,1,42,2,1,0,1,2,1
1,1,1,43,2,1,0,1,2,1
1,1,1,44,2,2,1,0,1,1
1,1,1,45,2,1,0,1,1,0
1,1,1,46,2,1,0,1,1,0
1,1,1,47,2,1,0,1,1,0
1,1,1,48,2,2,1,0,1,1
1,1,1,49,2,2,1,0,1,1
1,1,1,50,2,2,1,0,1,1
1,1,2,1,1,1,1,0,2,0
1,1,2,2,1,2,0,1,2,1
1,1,2,3,1,2,0,1,2,1
1,1,2,4,1,2,0,1,2,1
1,1,2,5,1,2,0,1,2,1
1,1,2,6,1,2,0,1,2,1
1,1,2,7,1,2,0,1,2,1
1,1,2,8,1,2,0,1,2,1
1,1,2,9,1,1,1,0,1,1
1,1,2,10,1,2,0,1,2,1
1,1,2,11,1,1,1,0,1,1
1,1,2,12,1,2,0,1,2,1
1,1,2,13,1,1,1,0,1,1
1,1,2,14,1,1,1,0,2,0
1,1,2,15,1,2,0,1,2,1
1,1,2,16,1,2,0,1,2,1
1,1,2,17,1,2,0,1,2,1
1,1,2,18,1,1,1,0,1,1
1,1,2,19,1,1,1,0,1,1
1,1,2,20,1,2,0,1,2,1
1,1,2,21,1,2,0,1,2,1
1,1,2,22,1,2,0,1,2,1
1,1,2,23,1,2,0,1,2,1
1,1,2,24,1,1,1,0,1,1
1,1,2,25,1,1,1,0,2,0
1,1,2,26,1,2,0,1,1,0
1,1,2,27,1,1,1,0,1,1
1,1,2,28,1,1,1,0,1,1
1,1,2,29,1,1,1,0,1,1
1,1,2,30,1,2,0,1,1,0
1,1,2,31,1,2,0,1,2,1
1,1,2,32,1,2,0,1,2,1
1,1,2,33,1,2,0,1,2,1
1,1,2,34,1,2,0,1,2,1
1,1,2,35,1,1,1,0,1,1
1,1,2,36,1,2,0,1,2,1
1,1,2,37,1,2,0,1,1,0
1,1,2,38,1,2,0,1,1,0
1,1,2,39,1,2,0,1,2,1
1,1,2,40,1,2,0,1,2,1
1,1,2,41,1,1,1,0,1,1
1,1,2,42,1,1,1,0,1,1
1,1,2,43,1,2,0,1,2,1
1,1,2,44,1,1,1,0,1,1
1,1,2,45,1,2,0,1,2,1
